s	count
http://dbpedia.org/ontology/Abbey	27
http://dbpedia.org/ontology/Actor	23
http://dbpedia.org/ontology/Person	23
http://dbpedia.org/ontology/City	22
http://dbpedia.org/ontology/AcademicJournal	21
http://dbpedia.org/ontology/Monastery	21
http://dbpedia.org/ontology/Activity	20
http://dbpedia.org/ontology/AdultActor	20
http://dbpedia.org/ontology/Agent	20
http://dbpedia.org/ontology/Place	20
http://dbpedia.org/ontology/Food	19
http://dbpedia.org/ontology/Aircraft	19
http://dbpedia.org/ontology/Automobile	19
http://dbpedia.org/ontology/Airport	19
http://dbpedia.org/ontology/Book	19
http://dbpedia.org/ontology/Album	19
http://dbpedia.org/ontology/birthDate	18
http://dbpedia.org/ontology/Organisation	18
http://dbpedia.org/ontology/Mosque	18
http://dbpedia.org/ontology/Building	18
http://dbpedia.org/ontology/Animal	18
http://dbpedia.org/ontology/Swimmer	17
http://dbpedia.org/ontology/Instrument	17
http://dbpedia.org/ontology/Ambassador	17
http://dbpedia.org/ontology/Band	17
http://dbpedia.org/ontology/Bridge	17
http://dbpedia.org/ontology/Anime	17
http://dbpedia.org/ontology/country	17
http://dbpedia.org/ontology/Airline	17
http://dbpedia.org/ontology/Church	17
http://dbpedia.org/ontology/AmericanFootballLeague	17
http://dbpedia.org/ontology/School	17
http://dbpedia.org/ontology/Guitar	17
http://dbpedia.org/ontology/birthPlace	17
http://dbpedia.org/ontology/AdministrativeRegion	17
http://dbpedia.org/ontology/author	17
http://dbpedia.org/ontology/elementGroup	17
http://dbpedia.org/ontology/Village	17
http://dbpedia.org/ontology/architect	17
http://dbpedia.org/ontology/Event	16
http://dbpedia.org/ontology/ArchitecturalStructure	16
http://dbpedia.org/ontology/Artist	16
http://dbpedia.org/ontology/BaseballLeague	16
http://dbpedia.org/ontology/University	16
http://dbpedia.org/ontology/artist	16
http://dbpedia.org/ontology/List	16
http://dbpedia.org/ontology/Chef	16
http://dbpedia.org/ontology/director	16
http://dbpedia.org/ontology/placeOfBurial	16
http://dbpedia.org/ontology/Canal	16
http://dbpedia.org/ontology/Beverage	16
http://dbpedia.org/ontology/	16
http://dbpedia.org/ontology/TelevisionStation	16
http://dbpedia.org/ontology/atomicNumber	16
http://dbpedia.org/ontology/Broadcaster	16
http://dbpedia.org/ontology/Group	16
http://dbpedia.org/ontology/Library	16
http://dbpedia.org/ontology/Casino	16
http://dbpedia.org/ontology/capital	16
http://dbpedia.org/ontology/Film	16
http://dbpedia.org/ontology/Planet	16
