s	count
http://yago-knowledge.org/resource/wordnet_person_100007846	8
http://yago-knowledge.org/resource/Govind_Nihalani	1
http://yago-knowledge.org/resource/Mickey_Rooney	1
http://yago-knowledge.org/resource/Leif_Erickson_(actor)	1
http://yago-knowledge.org/resource/Clara_Morgane	1
http://yago-knowledge.org/resource/Omar_Bradley	1
http://yago-knowledge.org/resource/Charles_Reisner	1
http://yago-knowledge.org/resource/Red_Buttons	1
http://yago-knowledge.org/resource/Tawny_Kitaen	1
http://yago-knowledge.org/resource/José_Garcia_(actor)	1
http://yago-knowledge.org/resource/Abhishek_Bachchan	1
http://yago-knowledge.org/resource/Bruce_Boxleitner	1
http://yago-knowledge.org/resource/Bob_Costas	1
http://yago-knowledge.org/resource/K._Vijaya_Bhaskar	1
http://yago-knowledge.org/resource/Judith_Anderson	1
http://yago-knowledge.org/resource/John_Dankworth	1
http://yago-knowledge.org/resource/Oskar_Homolka	1
http://yago-knowledge.org/resource/Amrita_Arora	1
http://yago-knowledge.org/resource/Carrie_Fisher	1
http://yago-knowledge.org/resource/Lil'_Kim	1
http://yago-knowledge.org/resource/Ed_Wood	1
http://yago-knowledge.org/resource/Ally_Sheedy	1
http://yago-knowledge.org/resource/Spencer_Williams_(actor)	1
http://yago-knowledge.org/resource/Ray_Wise	1
http://yago-knowledge.org/resource/Garry_Marshall	1
http://yago-knowledge.org/resource/Kimberly_J._Brown	1
http://yago-knowledge.org/resource/Clifford_Odets	1
http://yago-knowledge.org/resource/Ava_Gardner	1
http://yago-knowledge.org/resource/Eugene_Jarvis	1
http://yago-knowledge.org/resource/Glen_Campbell	1
http://yago-knowledge.org/resource/Joan_Taylor	1
http://yago-knowledge.org/resource/Fardeen_Khan	1
http://yago-knowledge.org/resource/John_Rhys-Davies	1
http://yago-knowledge.org/resource/Bimal_Roy	1
http://yago-knowledge.org/resource/Alicia_Keys	1
http://yago-knowledge.org/resource/Jane_Campion	1
http://yago-knowledge.org/resource/Betty_Friedan	1
http://yago-knowledge.org/resource/Ryan_Phillippe	1
http://yago-knowledge.org/resource/Marc_Davis_(animator)	1
http://yago-knowledge.org/resource/A._K._Antony	1
http://yago-knowledge.org/resource/Michael_Gambon	1
http://yago-knowledge.org/resource/Daniel_Barenboim	1
http://yago-knowledge.org/resource/Denise_DeBartolo_York	1
http://yago-knowledge.org/resource/Charles_G._Boyd	1
http://yago-knowledge.org/resource/Norman_Davies	1
http://yago-knowledge.org/resource/Jeff_Beal	1
http://yago-knowledge.org/resource/Claus_Luthe	1
http://yago-knowledge.org/resource/Poul_Bang	1
http://yago-knowledge.org/resource/Dinah_Shore	1
http://yago-knowledge.org/resource/Prince_Naruhiko_Higashikuni	1
